order_id,customer_id,customer_id,transaction_date,order_date,order_year,order_month,total_amount,quantity,product_id,category,city,state,review_score
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,7c396fd4830fd04220f754e42b4e5bff,2017-10-02 10:56:33,2017-10-02,2017,10,38.71,1,87285b34884572647811a353c7ac498a,Housewares,sao paulo,SP,4.0
53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,af07308b275d755c9edb36a90c618231,2018-07-24 20:41:37,2018-07-24,2018,7,141.46,1,595fac2a385ac33a80bd5114aec74eb8,Perfumery,barreiras,BA,4.0
47770eb9100c2d0c44946d9cf07ec65d,41ce2a54c0b03bf3443c3d931a367089,3a653a41f6f9fc3d2a113cf8398680e8,2018-08-08 08:38:49,2018-08-08,2018,8,179.12,1,aa4383b373c6aca5d8797843e5594415,Auto,vianopolis,GO,5.0
949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,7c142cf63193a1473d2e66489a9ae977,2017-11-18 19:28:06,2017-11-18,2017,11,72.2,1,d0b61bfb1de832b15ba9d266ca96e5b0,Pet Shop,sao goncalo do amarante,RN,5.0
ad21c59c0840e6cb83a9ceb5573f8159,8ab97904e6daea8866dbdbc4fb7aad2c,72632f0f9dd73dfee390c9b22eb56dd6,2018-02-13 21:18:39,2018-02-13,2018,2,28.62,1,65266b2da20d04dbe00c5c2d3bb7859e,Stationery,santo andre,SP,5.0
a4591c265e18cb1dcee52889e2d8acc3,503740e9ca751ccdda7ba28e9ab8f608,80bb27c7c16e8f973207a5086ab329e2,2017-07-09 21:57:05,2017-07-09,2017,7,175.26,1,060cb19345d90064d1015407193c233d,Auto,congonhinhas,PR,4.0
6514b8ad8028c9f2cc2374ded245783f,9bdf08b4b3b52b5526ff42d37d47f222,932afa1e708222e5821dac9cd5db4cae,2017-05-16 13:10:30,2017-05-16,2017,5,75.16,1,4520766ec412348b8d4caa5e8a18c464,Auto,nilopolis,RJ,5.0
76c6e866289321a7c93b82b54852dc33,f54a9f0e6b351c431402b8461ea51999,39382392765b6dc74812866ee5ee92a7,2017-01-23 18:29:09,2017-01-23,2017,1,35.95,1,ac1789e492dcd698c5c10b97a671243a,Furniture Decor,faxinalzinho,RS,1.0
e69bfb5eb88e0ed6a785585b27e16dbf,31ad1d1b63eb9962463f764d4e6e0c9d,299905e3934e9e181bfb2e164dd4b4f8,2017-07-29 11:55:02,2017-07-29,2017,7,169.76,1,9a78fb9862b10749a117f7fc3c31f051,Office Furniture,sorocaba,SP,5.0
e6ce16cb79ec1d90b1da9085a6118aeb,494dded5b201313c64ed7f100595b95c,f2a85dec752b8517b5e58a06ff3cd937,2017-05-16 19:41:10,2017-05-16,2017,5,259.06,2,08574b074924071f4e201e151b152b4e,Garden Tools,rio de janeiro,RJ,1.0
34513ce0c4fab462a55830c0989c7edb,7711cf624183d843aafe81855097bc37,782987b81c92239d922aa49d6bd4200b,2017-07-13 19:58:11,2017-07-13,2017,7,114.13,1,f7e0fa615b386bc9a8b9eb52bc1fff76,Computers Accessories,sao paulo,SP,4.0
82566a660a982b15fb86e904c8d32918,d3e3b74c766bc6214e0c830b17ee2341,e97109680b052ee858d93a539597bba7,2018-06-07 10:06:19,2018-06-07,2018,6,50.13,1,72a97c271b2e429974398f46b93ae530,Perfumery,ouro preto,MG,5.0
5ff96c15d0b717ac6ad1f3d77225a350,19402a48fe860416adf93348aba37740,e2dfa3127fedbbca9707b36304996dab,2018-07-25 17:44:10,2018-07-25,2018,7,32.7,1,10adb53d8faa890ca7c2f0cbcb68d777,Bed Bath Table,sao paulo,SP,5.0
432aaf21d85167c2c86ec9448c4e42cc,3df704f53d3f1d4818840b34ec672a9f,04cf8185c71090d28baa4407b2e6d600,2018-03-01 14:14:28,2018-03-01,2018,3,54.36,1,72d3bf1d3a790f8874096fcf860e3eff,Toys,sao paulo,SP,4.0
dcb36b511fcac050b97cd5c05de84dc3,3b6828a50ffe546942b7a473d70ac0fc,ccafc1c3f270410521c3c6f3b249870f,2018-06-07 19:03:12,2018-06-07,2018,6,146.45,1,009c09f439988bc06a93d6b8186dce73,Perfumery,goiania,GO,5.0
403b97836b0c04a622354cf531062e5f,738b086814c6fcc74b8cc583f8516ee3,6e26bbeaa107ec34112c64e1ee31c0f5,2018-01-02 19:00:43,2018-01-02,2018,1,1376.45,1,638bbb2a5e4f360b71f332ddfebfd672,Construction Tools Construction,rio de janeiro,RJ,3.0
116f0b09343b49556bbad5f35bee0cdf,3187789bec990987628d7a9beb4dd6ac,6087cfc70fd833cf2db637a5e6e9d76b,2017-12-26 23:41:31,2017-12-26,2017,12,43.09,1,a47295965bd091207681b541b26e40a5,Telephony,imbituba,SC,5.0
85ce859fd6dc634de8d2f1e290444043,059f7fc5719c7da6cbafe370971a8d70,d0ff1a7468fcc46b8fc658ab35d2a12c,2017-11-21 00:03:41,2017-11-21,2017,11,29.75,1,cce679660c66e6fbd5c8091dfd29e9cd,Bed Bath Table,hortolandia,SP,5.0
83018ec114eee8641c97e08f7b4e926f,7f8c8b9c2ae27bf3300f670c3d478be8,634f09f6075fe9032e6c19609ffe995a,2017-10-26 15:54:26,2017-10-26,2017,10,92.97,1,c35498fbb4358837ae16850f50c3fd22,Telephony,feira de santana,BA,4.0
203096f03d82e0dffbc41ebc2e2bcfb7,d2b091571da224a1b36412c18bc3bbfe,d699688533772c15a061e8ce81cb56df,2017-09-18 14:31:30,2017-09-18,2017,9,118.86,1,5ac9d9e379c606e36a8094a6046f75dc,Health Beauty,sao paulo,SP,2.0
f848643eec1d69395095eb3840d2051e,4fa1cd166fa598be6de80fa84eaade43,68954feaafe4dd638f3bd3e2afa174ec,2018-03-15 08:52:40,2018-03-15,2018,3,88.9,1,2b4609f8948be18874494203496bc318,Health Beauty,sao paulo,SP,5.0
2807d0e504d6d4894d41672727bc139f,72ae281627a6102d9b3718528b420f8a,b8df986511d928829c3192c2ed081eba,2018-02-03 20:37:35,2018-02-03,2018,2,17.28,1,6893767814d1ac82a81bcd365e1cc918,Electronics,sao paulo,SP,3.0
95266dbfb7e20354baba07964dac78d5,a166da34890074091a942054b36e4265,451e48381edab7f1f6dbfa6d728616ff,2018-01-08 07:55:29,2018-01-08,2018,1,187.57,1,bb7181410b4e02f93f3697f765db53c7,Baby,blumenau,SC,4.0
f3e7c359154d965827355f39d6b1fdac,62b423aab58096ca514ba6aa06be2f98,9c9242ad7f1b52d926ea76778e1c0c57,2018-08-09 11:44:40,2018-08-09,2018,8,104.11,1,e99d69efe684efaa643f99805f7c81bc,Stationery,sorocaba,SP,5.0
fbf9ac61453ac646ce8ad9783d7d0af6,3a874b4d4c4b6543206ff5d89287f0c3,a25d5f94840d3c6a1a49f271ed83f4ec,2018-02-20 23:46:53,2018-02-20,2018,2,125.43,1,7b717060aa783eb7f23a747a3a733dd7,Cool Stuff,rio de janeiro,RJ,2.0
acce194856392f074dbf9dada14d8d82,7e20bf5ca92da68200643bda76c504c6,576ea0cab426cd8a00fad9a9c90a4494,2018-06-04 00:00:13,2018-06-04,2018,6,227.68,2,d70f38e7f79c630f8ea00c993897042c,Baby,salvador,BA,1.0
dd78f560c270f1909639c11b925620ea,8b212b9525f9e74e85e37ed6df37693e,f4a7ef6bd931f83d75d83b71c94e90df,2018-03-12 01:50:26,2018-03-12,2018,3,60.69,1,00baba5b58e274d0332a0c8a0a66f877,Perfumery,sao carlos,SP,5.0
91b2a010e1e45e6ba3d133fa997597be,cce89a605105b148387c52e286ac8335,bd13608b9c6033892ce62269b50a0afc,2018-05-02 11:45:38,2018-05-02,2018,5,192.68,1,ba74c6b75d2ad7503175809688d5a03c,Watches Gifts,santo andre,SP,4.0
ecab90c9933c58908d3d6add7c6f5ae3,761df82feda9778854c6dafdaeb567e4,1428917cd397d4f9ac0fde76dd6f2266,2018-02-25 13:50:30,2018-02-25,2018,2,63.34,1,c0db539123a403f670c50237d970b215,Garden Tools,boa vista,RR,4.0
f70a0aff17df5a6cdd9a7196128bd354,456dc10730fbdba34615447ea195d643,1974875b4a1d2e2ee6d586e3ba4d7602,2017-08-10 11:58:33,2017-08-10,2017,8,313.19,1,cafd558df4c3c9d1c338ba6930ea9a62,Baby,sao paulo,SP,2.0
1790eea0b567cf50911c057cf20f90f9,52142aa69d8d0e1247ab0cada0f76023,a6fefcd9f434474cf6fcd8ed1102fd63,2018-04-16 21:15:39,2018-04-16,2018,4,224.9,1,2d8f2be4f08788ee3bf5356af2b2ee6c,Air Conditioning,palmares,PE,1.0
989225ba6d0ebd5873335f7e01de2ae7,816f8653d5361cbf94e58c33f2502a5c,37363700139c1aef873bbcd916e57dfd,2017-12-12 13:56:04,2017-12-12,2017,12,63.1,1,6b64362e89896be7589621df54be089e,Furniture Decor,sao paulo,SP,4.0
d887b52c6516beb39e8cd44a5f8b60f7,d9ef95f98d8da3b492bb8c0447910498,a2649503b92028291f011a976619b322,2018-02-03 12:38:58,2018-02-03,2018,2,100.25,1,39a9942865c056ed2006a5e8c11d9537,Toys,mesquita,RJ,5.0
b276e4f8c0fb86bd82fce576f21713e0,cf8ffeddf027932e51e4eae73b384059,6cbe8a392b76916e84c2faf69d0d0da0,2018-07-29 23:34:51,2018-07-29,2018,7,188.41,1,c6c1f263e076bd9c1f1640250a5d0c29,Perfumery,santa barbara d'oeste,SP,5.0
8563039e855156e48fccee4d611a3196,5f16605299d698660e0606f7eae2d2f9,92fd8aa5948e20c43a014c44c025c5e1,2018-02-17 15:59:46,2018-02-17,2018,2,106.95,1,bff2010b28e8fbcff5a9db9d3fea5ac4,Garden Tools,alvorada,TO,5.0
60550084e6b4c0cb89a87df1f3e5ebd9,f5458ddc3545711efa883dd7ae7c4497,661a5e18a28b34880ccc60112f2b8e8e,2018-02-21 18:15:12,2018-02-21,2018,2,66.79,1,9b37a918bcf2c8e1064e867cf1df4637,Electronics,ibiapina,CE,4.0
5acce57f8d9dfd55fa48e212a641a69d,295ae9b35379e077273387ff64354b6f,f1f4f45c8602d0db1329eed1c8e935d4,2017-07-31 21:37:10,2017-07-31,2017,7,43.0,1,0cd9f302c8a5b076ffa5c3567c6705fd,Computers Accessories,quata,SP,5.0
434d158e96bdd6972ad6e6d73ddcfd22,2a1dfb647f32f4390e7b857c67458536,5f7d7732b351ce851a158528581af05f,2018-06-01 12:23:13,2018-06-01,2018,6,508.17,1,c7df652246ed7b3300aaf46960c141e4,Health Beauty,jaboatao dos guararapes,PE,5.0
7206b86ea789983f7a273ea7fa0bc2a8,3391c4bc11a817e7973e498b0b023158,1b542f810484d8c042aed33a7c61a218,2018-03-26 17:12:18,2018-03-26,2018,3,49.69,1,9a469eaf45dfbc43d39ba1977a3c07af,Bed Bath Table,sao paulo,SP,3.0
1e7aff52cdbb2451ace09d0f848c3699,ddaff536587109b89777e0353215e150,c796780c7daeab9e94cc052b1f103b21,2017-05-19 18:53:40,2017-05-19,2017,5,154.19,1,8c591ab0ca519558779df02023177f44,Garden Tools,paracambi,RJ,5.0
6ea2f835b4556291ffdc53fa0b3b95e8,c7340080e394356141681bd4c9b8fe31,3e4fd73f1e86b135b9b121d6abbe9597,2017-11-24 21:27:48,2017-11-24,2017,11,356.12,1,be021417a6acb56b9b50d3fd2714baa8,Housewares,presidente venceslau,SP,1.0
948097deef559c742e7ce321e5e58919,8644be24d48806bc3a88fd59fb47ceb1,4ca5f90433afb5493247f0bafb583483,2017-08-04 17:10:39,2017-08-04,2017,8,95.67,1,cd935d283d47f1050c505e1c39c48b67,Sports Leisure,brasilia,DF,5.0
d22e9fa5731b9e30e8b27afcdc2f8563,756fb9391752dad934e0fe3733378e57,394b2ce444baae9ae609f5d32000de0f,2018-08-04 23:25:30,2018-08-04,2018,8,121.62,1,f410090aec61f7c73748ca894286edcd,Stationery,luis eduardo magalhaes,BA,4.0
6ebaec694d7025e2ad4a05dba887c032,4f28355e5c17a4a42d3ce2439a1d4501,4acce2834231e13b1514915adda5ec2b,2017-05-18 13:55:47,2017-05-18,2017,5,153.72,1,e251ebd2858be1aa7d9b2087a6992580,Garden Tools,rio de janeiro,RJ,1.0
d17dc4a904426827ca80f2ccb3a6be56,569cf68214806a39acc0f39344aea67f,c2551ea089b7ebbc67a2ea8757152514,2017-05-14 20:28:25,2017-05-14,2017,5,54.82,1,ba4bfbf74dbe7ab37e263b9326da0523,Sports Leisure,cruz das almas,BA,4.0
